Drug ID,Drug name,Target ID,Target name,Score,label
DB01224,Quetiapine,P14416,DRD2,1.1831,1
DB00334,Olanzapine,P20309,CHRM3,1.1216,1
DB00477,Chlorpromazine,P14416,DRD2,1.0997,1
DB01234,Dexamethasone,P04150,NR3C1,1.0938,1
DB00674,Galantamine,P22303,ACHE,1.0917,1
DB00334,Olanzapine,P11229,CHRM1,1.0915,1
DB00818,Propofol,Q14524,SCN5A,1.0849,0
DB00714,Apomorphine,P14416,DRD2,1.0846,1
DB01224,Quetiapine,P21728,DRD1,1.0836,1
DB01186,Pergolide,P14416,DRD2,1.0753,1
DB00696,Ergotamine,P08908,HTR1A,1.0734,0
DB00248,Cabergoline,P08908,HTR1A,1.0714,1
DB01224,Quetiapine,P35348,ADRA1A,1.0713,1
DB00683,Midazolam,P14867,GABRA1,1.0675,1
DB01238,Aripiprazole,P14416,DRD2,1.0659,1
DB00216,Eletriptan,P28222,HTR1B,1.0647,1
DB00248,Cabergoline,P28221,HTR1D,1.0623,1
DB00246,Ziprasidone,P14416,DRD2,1.0606,1
DB00248,Cabergoline,P14416,DRD2,1.0595,1
DB00408,Loxapine,P14416,DRD2,1.0595,1
DB00248,Cabergoline,P28223,HTR2A,1.0588,1
DB01142,Doxepin,P35348,ADRA1A,1.0587,1
DB01200,Bromocriptine,P08908,HTR1A,1.0564,1
DB00231,Temazepam,P14867,GABRA1,1.0526,1
DB00186,Lorazepam,P14867,GABRA1,1.0523,1
DB01064,Isoproterenol,P07550,ADRB2,1.0514,1
DB01136,Carvedilol,P08588,ADRB1,1.0495,1
DB00475,Chlordiazepoxide,P14867,GABRA1,1.0489,1
DB00186,Lorazepam,Q8N1C3,GABRG1,1.0488,1
DB00231,Temazepam,Q8N1C3,GABRG1,1.0473,1
DB00734,Risperidone,P28223,HTR2A,1.0473,1
DB01159,Halothane,P14867,GABRA1,1.0468,1
DB01200,Bromocriptine,P28222,HTR1B,1.0466,1
DB00413,Pramipexole,P35462,DRD3,1.0459,1
DB00687,Fludrocortisone,P04150,NR3C1,1.0457,1
DB01224,Quetiapine,P18089,ADRA2B,1.0457,1
DB00690,Flurazepam,P47870,GABRB2,1.0443,1
DB00376,Trihexyphenidyl,P20309,CHRM3,1.0436,1
DB06204,Tapentadol,P41145,OPRK1,1.0427,1
DB00475,Chlordiazepoxide,P34903,GABRA3,1.0426,1
DB01185,Fluoxymesterone,P10275,AR,1.0412,1
DB00216,Eletriptan,P08908,HTR1A,1.0398,1
DB01595,Nitrazepam,P47870,GABRB2,1.0391,1
DB00844,Nalbuphine,P41145,OPRK1,1.0386,1
DB00674,Galantamine,Q15822,CHRNA2,1.0382,1
DB00819,Acetazolamide,P00918,CA2,1.0379,1
DB01224,Quetiapine,P28335,HTR2C,1.0343,1
DB00850,Perphenazine,P14416,DRD2,1.0328,1
DB00679,Thioridazine,P14416,DRD2,1.0325,1
DB00844,Nalbuphine,P41143,OPRD1,1.0324,1
DB00186,Lorazepam,P18507,GABRG2,1.032,1
DB01595,Nitrazepam,P28472,GABRB3,1.0314,1
DB00543,Amoxapine,P14416,DRD2,1.0312,1
