Drug ID,Drug name,Target ID,Target name,Score,Label
DB08954,Ifenprodil,10280,SIGMAR1,1.2314,1
DB01118,Amiodarone,152,ADRA2C,1.1988,0
DB01148,Flavoxate,1128,CHRM1,1.1972,0
DB00568,Cinnarizine,152,ADRA2C,1.1817,1
DB01148,Flavoxate,1129,CHRM2,1.1718,0
DB00481,Raloxifene,152,ADRA2C,1.168,1
DB00604,Cisapride,3356,HTR2A,1.1672,1
DB01238,Aripiprazole,152,ADRA2C,1.1671,1
DB01118,Amiodarone,3757,KCNH2,1.167,1
DB00476,Duloxetine,3351,HTR1B,1.1593,1
DB00539,Toremifene,152,ADRA2C,1.1548,0
DB00215,Citalopram,6532,SLC6A4,1.1533,1
DB01148,Flavoxate,1133,CHRM5,1.1523,0
DB00502,Haloperidol,152,ADRA2C,1.1508,1
DB00476,Duloxetine,3358,HTR2C,1.1502,1
DB00604,Cisapride,3358,HTR2C,1.1496,1
DB00477,Chlorpromazine,152,ADRA2C,1.1477,1
DB01238,Aripiprazole,3352,HTR1D,1.1453,1
DB05294,Vandetanib,2534,FYN,1.1438,1
DB00477,Chlorpromazine,1813,DRD2,1.1359,1
DB00283,Clemastine,6532,SLC6A4,1.1355,0
DB00450,Droperidol,152,ADRA2C,1.1333,1
DB00714,Apomorphine,152,ADRA2C,1.1283,1
DB00433,Prochlorperazine,1813,DRD2,1.1268,1
DB01268,Sunitinib,5753,PTK6,1.1263,1
DB01238,Aripiprazole,3351,HTR1B,1.1258,1
DB00637,Astemizole,152,ADRA2C,1.125,1
DB00344,Protriptyline,6531,SLC6A3,1.1222,1
DB00800,Fenoldopam,152,ADRA2C,1.1205,0
DB00476,Duloxetine,3350,HTR1A,1.1203,1
DB06616,Bosutinib,5753,PTK6,1.1203,0
DB00502,Haloperidol,3351,HTR1B,1.1198,1
DB01268,Sunitinib,3055,HCK,1.1195,1
DB01238,Aripiprazole,3350,HTR1A,1.1187,1
DB00477,Chlorpromazine,1812,DRD1,1.1172,1
DB00458,Imipramine,6532,SLC6A4,1.1151,1
DB00363,Clozapine,3269,HRH1,1.1146,1
DB00340,Metixene,1128,CHRM1,1.1145,0
DB01127,Econazole,152,ADRA2C,1.1139,0
DB01162,Terazosin,152,ADRA2C,1.1122,1
DB00850,Perphenazine,152,ADRA2C,1.1117,1
DB06616,Bosutinib,2534,FYN,1.1117,1
DB00434,Cyproheptadine,1128,CHRM1,1.1108,1
DB00604,Cisapride,3357,HTR2B,1.11,1
DB00477,Chlorpromazine,1814,DRD3,1.1082,1
DB00604,Cisapride,3352,HTR1D,1.1061,0
DB01238,Aripiprazole,1813,DRD2,1.1055,1
DB00433,Prochlorperazine,3358,HTR2C,1.1045,1
DB00637,Astemizole,3358,HTR2C,1.1036,1
DB00363,Clozapine,3352,HTR1D,1.1031,0
DB00317,Gefitinib,2534,FYN,1.103,0
DB01268,Sunitinib,4293,MAP3K9,1.1002,1
DB00481,Raloxifene,3357,HTR2B,1.1001,1
DB00477,Chlorpromazine,6532,SLC6A4,1.0999,1
DB00363,Clozapine,3358,HTR2C,1.0998,1
DB00477,Chlorpromazine,3358,HTR2C,1.0973,1
DB06616,Bosutinib,4293,MAP3K9,1.0965,1
DB01238,Aripiprazole,3358,HTR2C,1.0954,1
DB00289,Atomoxetine,6531,SLC6A3,1.0953,1
DB05294,Vandetanib,5753,PTK6,1.095,1
DB00408,Loxapine,3358,HTR2C,1.0942,1
DB00637,Astemizole,6532,SLC6A4,1.0932,1
DB00850,Perphenazine,1813,DRD2,1.0925,1
DB05294,Vandetanib,2268,FGR,1.0917,1
DB00363,Clozapine,1129,CHRM2,1.0915,1
DB01239,Chlorprothixene,1128,CHRM1,1.0907,1
DB06616,Bosutinib,3055,HCK,1.0897,1
DB00215,Citalopram,6531,SLC6A3,1.0892,0
DB01268,Sunitinib,11184,MAP4K1,1.0892,1
DB00502,Haloperidol,3350,HTR1A,1.0891,1
DB00679,Thioridazine,152,ADRA2C,1.0878,1
DB00568,Cinnarizine,1812,DRD1,1.0868,0
DB00398,Sorafenib,2534,FYN,1.086,1
DB00502,Haloperidol,3352,HTR1D,1.0854,1
DB00800,Fenoldopam,150,ADRA2A,1.0854,1
DB01239,Chlorprothixene,1129,CHRM2,1.0854,1
DB01254,Dasatinib,2534,FYN,1.0853,1
DB00433,Prochlorperazine,152,ADRA2C,1.085,1
DB06144,Sertindole,152,ADRA2C,1.0844,1
DB00834,Mifepristone,367,AR,1.0831,1
DB00714,Apomorphine,150,ADRA2A,1.0823,1
DB00289,Atomoxetine,6532,SLC6A4,1.0822,1
DB01118,Amiodarone,153,ADRB1,1.0821,0
DB00679,Thioridazine,1813,DRD2,1.0817,1
DB01254,Dasatinib,3055,HCK,1.0814,1
DB00623,Fluphenazine,1813,DRD2,1.081,1
DB00925,Phenoxybenzamine,6532,SLC6A4,1.0806,0
DB01267,Paliperidone,152,ADRA2C,1.0799,1
DB00363,Clozapine,3355,HTR1F,1.0797,0
DB01238,Aripiprazole,3356,HTR2A,1.079,1
DB05294,Vandetanib,3055,HCK,1.0786,1
DB00409,Remoxipride,3358,HTR2C,1.0785,0
DB01268,Sunitinib,673,BRAF,1.0783,0
DB00568,Cinnarizine,150,ADRA2A,1.0779,1
DB00408,Loxapine,3269,HRH1,1.0776,1
DB00234,Reboxetine,6532,SLC6A4,1.0773,1
DB00540,Nortriptyline,6532,SLC6A4,1.0771,1
DB00502,Haloperidol,1813,DRD2,1.0769,1
DB01238,Aripiprazole,150,ADRA2A,1.0768,1
DB00637,Astemizole,3356,HTR2A,1.0767,1
DB00450,Droperidol,1813,DRD2,1.0763,1
DB06616,Bosutinib,673,BRAF,1.0762,0
DB00363,Clozapine,152,ADRA2C,1.076,1
DB00344,Protriptyline,6532,SLC6A4,1.0756,1
DB06144,Sertindole,3352,HTR1D,1.0752,1
DB01268,Sunitinib,5602,MAPK10,1.0751,1
DB00714,Apomorphine,3350,HTR1A,1.075,1
DB01085,Pilocarpine,1128,CHRM1,1.075,1
DB01238,Aripiprazole,1814,DRD3,1.0749,1
DB01238,Aripiprazole,1129,CHRM2,1.0747,1
DB00283,Clemastine,6531,SLC6A3,1.0746,1
DB05294,Vandetanib,6714,SRC,1.0741,1
DB00344,Protriptyline,6530,SLC6A2,1.0739,1
DB06795,Mafenide,765,CA6,1.0739,1
DB00717,Norethisterone,367,AR,1.0738,1
DB00623,Fluphenazine,152,ADRA2C,1.0736,1
DB00433,Prochlorperazine,1814,DRD3,1.0735,1
DB06616,Bosutinib,2268,FGR,1.0731,1
DB00539,Toremifene,3350,HTR1A,1.0728,0
DB00714,Apomorphine,3351,HTR1B,1.0727,1
DB01268,Sunitinib,2534,FYN,1.0724,1
DB00434,Cyproheptadine,3269,HRH1,1.0723,1
DB01254,Dasatinib,5753,PTK6,1.0714,1
DB00185,Cevimeline,1128,CHRM1,1.071,1
DB06616,Bosutinib,11184,MAP4K1,1.0709,1
DB00502,Haloperidol,3358,HTR2C,1.0708,1
DB06148,Mianserin,3358,HTR2C,1.0703,1
DB00433,Prochlorperazine,1812,DRD1,1.0701,1
DB00320,Dihydroergotamine,152,ADRA2C,1.0695,1
DB00408,Loxapine,152,ADRA2C,1.0694,1
DB00502,Haloperidol,10280,SIGMAR1,1.0691,1
DB01100,Pimozide,152,ADRA2C,1.0687,1
DB01118,Amiodarone,150,ADRA2A,1.0686,1
DB00408,Loxapine,3356,HTR2A,1.0682,1
DB00925,Phenoxybenzamine,6531,SLC6A3,1.0678,0
DB00734,Risperidone,152,ADRA2C,1.0677,1
DB00637,Astemizole,3357,HTR2B,1.0676,1
DB00255,Diethylstilbestrol,2099,ESR1,1.067,1
DB00988,Dopamine,3351,HTR1B,1.0669,0
DB00998,Frovatriptan,3352,HTR1D,1.0667,1
DB00363,Clozapine,3356,HTR2A,1.0664,1
DB00481,Raloxifene,1812,DRD1,1.066,1
DB00530,Erlotinib,2534,FYN,1.0657,0
DB01618,Molindone,152,ADRA2C,1.0648,1
DB01268,Sunitinib,2268,FGR,1.0641,1
DB00679,Thioridazine,3358,HTR2C,1.064,1
DB00714,Apomorphine,3358,HTR2C,1.0639,1
DB01268,Sunitinib,6789,STK4,1.0639,1
DB00433,Prochlorperazine,3269,HRH1,1.0631,1
DB08877,Ruxolitinib,5753,PTK6,1.0629,0
DB00340,Metixene,1133,CHRM5,1.0623,0
DB01268,Sunitinib,4294,MAP3K10,1.0623,0
DB01075,Diphenhydramine,1128,CHRM1,1.0619,0
DB01162,Terazosin,150,ADRA2A,1.0615,1
